Sample Name,A,tau
Glucose - Blank - 2uM - A,2.809969715851489,0.08694594163775547
Glucose - Blank - 2 uM - B,3.051575777662127,0.07707438055819461
Glucose - Blank - 2 uM - C,3.500145352328401,0.07531421420717782
Lactate - Blank - 2 uM - A,3.726837775069596,0.07158079427529558
Lactate - Blank - 2 uM - B,4.374979273339636,0.054632864233130664
Lactate - Blank - 2 uM - C,4.577075677865748,0.04402112778376828
Glucose - Blank - 1uM - A,2.893110323069493,0.04710599081667517
Glucose - Blank - 1uM - B,5.136971142467061,0.04326789129382462
Glucose - Blank - 1uM - C,3.1592358036349206,0.08807431037020784
Lactate - Blank - 1 uM - A,4.340218690924921,0.0414029537539569
Lactate - Blank - 1 uM - B,3.706379148616026,0.07108511445936339
Lactate - Blank - 1 uM - C,5.21726331019492,0.04124966200904674
Glucose - Blank - 0.5 uM - A,4.945622442573154,0.02471614424994181
Glucose - Blank - 0.5 uM - B,4.058150809263618,0.054529708632169466
Glucose - Blank - 0.5 uM - C,6.713019352211787,0.019991579018598923
Lactate - Blank - 0.5 uM - A,4.186327356411562,0.05155652990984854
Lactate - Blank - 0.5 uM - B,4.802968962369419,0.04451024980457868
Lactate - Blank - 0.5 uM - C,1.2419814873370034,0.4203777302050238
Glucose - Blank - 0.2uM - A,2.9441794199906357,0.06190241757095958
Glucose - Blank - 0.2uM - B,3.983176282938019,0.03735342591839487
Glucose - Blank - 0.2uM - C,6.218800208814555,0.02507969315167402
Lactate - Blank - 0.2uM - A,4.8468922456621355,0.016536119963985074
Lactate - Blank - 0.2uM - B,6.859618316170206,0.021452134977536622
Lactate - Blank - 0.2uM - C,5.972024339154564,0.02745020114136696
Glucose - Blank - 0.1uM - A,3.524015713677497,0.020206644883748872
Glucose - Blank - 0.1uM - B,5.562240291585879,0.016753874345876264
Glucose - Blank - 0.1uM - C,4.927581024794398,0.016328354565656112
Lactate - Blank - 0.1uM - A,5.269485515682179,0.02030995073561058
Lactate - Blank - 0.1uM - B,5.657605338355242,0.014702947508711407
Lactate - Blank - 0.1uM - C,0.381106003546642,0.5624378759696973
